"site_code","reach","urbanized","restored","water"
"Ave35_dwn_B1","Ave35","Urban","NotRestored","Ephemeral"
"Ave35_dwn_B2","Ave35","Urban","NotRestored","Ephemeral"
"Ave35_mid_B1","Ave35","Urban","NotRestored","Ephemeral"
"Ave35_mid_B2","Ave35","Urban","NotRestored","Ephemeral"
"Ave35_up_B1","Ave35","Urban","NotRestored","Ephemeral"
"Ave35_up_B2","Ave35","Urban","NotRestored","Ephemeral"
"Ave67_dwn_B1","Ave67","Urban","NotRestored","Ephemeral"
"Ave67_dwn_B2","Ave67","Urban","NotRestored","Ephemeral"
"Ave67_mid_B1","Ave67","Urban","NotRestored","Ephemeral"
"Ave67_mid_B2","Ave67","Urban","NotRestored","Ephemeral"
"Ave67_up_B1","Ave67","Urban","NotRestored","Ephemeral"
"Ave67_up_B2","Ave67","Urban","NotRestored","Ephemeral"
"BM_dwn_B1","BM","Urban","Restored","Perennial"
"BM_dwn_B2","BM","Urban","Restored","Perennial"
"BM_mid_B1","BM","Urban","Restored","Perennial"
"BM_mid_B2","BM","Urban","Restored","Perennial"
"BM_up_B1","BM","Urban","Restored","Perennial"
"BM_up_B2","BM","Urban","Restored","Perennial"
"Price_dwn_B1","Price","Urban","NotRestored","Perennial"
"Price_dwn_B2","Price","Urban","NotRestored","Perennial"
"Price_mid_B1","Price","Urban","NotRestored","Perennial"
"Price_mid_B2","Price","Urban","NotRestored","Perennial"
"Price_up_B1","Price","Urban","NotRestored","Perennial"
"Price_up_B2","Price","Urban","NotRestored","Perennial"
"Priest_dwn_B1","Priest","Urban","NotRestored","Perennial"
"Priest_dwn_B2","Priest","Urban","NotRestored","Perennial"
"Priest_mid_B1","Priest","Urban","NotRestored","Perennial"
"Priest_mid_B2","Priest","Urban","NotRestored","Perennial"
"Priest_up_B1","Priest","Urban","NotRestored","Perennial"
"Priest_up_B2","Priest","Urban","NotRestored","Perennial"
"Rio_dwn_B1","Rio","Urban","Restored","Perennial"
"Rio_dwn_B2","Rio","Urban","Restored","Perennial"
"Rio_mid_B1","Rio","Urban","Restored","Perennial"
"Rio_mid_B2","Rio","Urban","Restored","Perennial"
"Rio_up_B1","Rio","Urban","Restored","Perennial"
"Rio_up_B2","Rio","Urban","Restored","Perennial"
"Tonto_dwn_B1","Tonto","NonUrban","NotRestored","Perennial"
"Tonto_mid_B1","Tonto","NonUrban","NotRestored","Perennial"
"Tonto_mid_B2","Tonto","NonUrban","NotRestored","Perennial"
"Tonto_mid_B3","Tonto","NonUrban","NotRestored","Perennial"
"Tonto_up_B1","Tonto","NonUrban","NotRestored","Perennial"
"Tonto_up_B2","Tonto","NonUrban","NotRestored","Perennial"
